n-1,99%,98%,97.5%,95%,90%,80%,70%,60%,50%,40%,30%,20%,10%,5%,4%,2.5%,2%,1%,0.2%,0.1%
1.0,0.0,0.001,0.001,0.004,0.016,0.064,0.14800000000000002,0.275,0.455,0.708,1.074,1.642,2.7060000000000004,3.841,4.218,5.024,5.412000000000001,6.635,9.55,10.828
2.0,0.02,0.04,0.051,0.10300000000000001,0.21100000000000002,0.446,0.713,1.022,1.386,1.8330000000000002,2.408,3.219,4.605,5.9910000000000005,6.438,7.377999999999999,7.824,9.21,12.429,13.815999999999999
3.0,0.115,0.185,0.21600000000000003,0.35200000000000004,0.584,1.005,1.4240000000000002,1.869,2.366,2.946,3.665,4.6419999999999995,6.251,7.815,8.311,9.347999999999999,9.837,11.345,14.796,16.266
4.0,0.297,0.429,0.484,0.711,1.064,1.649,2.195,2.753,3.3569999999999998,4.045,4.878,5.989,7.779,9.488,10.026,11.142999999999999,11.668,13.277000000000001,16.924,18.467
5.0,0.5539999999999999,0.752,0.831,1.145,1.61,2.343,3.0,3.655,4.351,5.132000000000001,6.064,7.289,9.236,11.07,11.644,12.833,13.388,15.085999999999999,18.907,20.515
6.0,0.872,1.1340000000000001,1.237,1.635,2.204,3.07,3.8280000000000003,4.57,5.348,6.211,7.231,8.558,10.645,12.592,13.198,14.449000000000002,15.033,16.812,20.791,22.458000000000002
7.0,1.239,1.564,1.69,2.167,2.833,3.822,4.671,5.492999999999999,6.346,7.2829999999999995,8.383,9.802999999999999,12.017000000000001,14.067,14.703,16.012999999999998,16.622,18.475,22.601,24.322
8.0,1.646,2.032,2.18,2.733,3.49,4.593999999999999,5.527,6.422999999999999,7.343999999999999,8.351,9.524,11.03,13.362,15.507,16.171,17.535,18.168,20.09,24.351999999999997,26.124000000000002
9.0,2.088,2.532,2.7,3.325,4.168,5.38,6.393,7.357,8.343,9.414,10.655999999999999,12.242,14.684000000000001,16.919,17.608,19.023,19.679000000000002,21.666,26.055999999999997,27.877
10.0,2.5580000000000003,3.0589999999999997,3.247,3.94,4.865,6.178999999999999,7.267,8.295,9.342,10.472999999999999,11.780999999999999,13.442,15.987,18.307000000000002,19.021,20.483,21.160999999999998,23.209,27.721999999999998,29.588
11.0,3.053,3.609,3.8160000000000003,4.575,5.577999999999999,6.989,8.148,9.237,10.341,11.53,12.899000000000001,14.630999999999998,17.275,19.675,20.412,21.92,22.618000000000002,24.725,29.354,31.264
12.0,3.571,4.178,4.404,5.226,6.303999999999999,7.807,9.033999999999999,10.182,11.34,12.584000000000001,14.011,15.812000000000001,18.549,21.026,21.785,23.337,24.054000000000002,26.217,30.956999999999997,32.909
13.0,4.107,4.765,5.0089999999999995,5.892,7.042000000000001,8.634,9.926,11.129000000000001,12.34,13.636,15.119000000000002,16.985,19.812,22.362,23.142,24.736,25.471999999999998,27.688000000000002,32.535,34.528
14.0,4.66,5.367999999999999,5.629,6.571000000000001,7.79,9.467,10.821,12.078,13.339,14.685,16.222,18.151,21.064,23.685,24.485,26.119,26.873,29.141,34.091,36.123000000000005
15.0,5.229,5.985,6.2620000000000005,7.261,8.547,10.307,11.720999999999998,13.03,14.339,15.732999999999999,17.322,19.311,22.307,24.996,25.816,27.488000000000003,28.259,30.578000000000003,35.628,37.696999999999996
16.0,5.812,6.614,6.9079999999999995,7.962000000000001,9.312000000000001,11.152000000000001,12.624,13.982999999999999,15.338,16.78,18.418,20.465,23.541999999999998,26.296,27.136,28.845,29.633000000000003,32.0,37.146,39.251999999999995
17.0,6.4079999999999995,7.255,7.564,8.672,10.085,12.002,13.530999999999999,14.937000000000001,16.338,17.824,19.511,21.615,24.769000000000002,27.587,28.445,30.191,30.995,33.409,38.648,40.79
18.0,7.015,7.906000000000001,8.231,9.39,10.865,12.857000000000001,14.44,15.892999999999999,17.338,18.868,20.601,22.76,25.989,28.869,29.745,31.526,32.346,34.805,40.135999999999996,42.312
19.0,7.632999999999999,8.567,8.907,10.117,11.651,13.716,15.352,16.85,18.338,19.91,21.689,23.9,27.204,30.144000000000002,31.037,32.852,33.687,36.191,41.61,43.82
20.0,8.26,9.237,9.591000000000001,10.850999999999999,12.443,14.578,16.266,17.809,19.337,20.951,22.775,25.038,28.412,31.41,32.321,34.17,35.02,37.566,43.071999999999996,45.315
21.0,8.897,9.915,10.283,11.591,13.24,15.445,17.182000000000002,18.768,20.337,21.991,23.858,26.171,29.615,32.671,33.597,35.479,36.343,38.931999999999995,44.522,46.797
22.0,9.542,10.6,10.982000000000001,12.338,14.040999999999999,16.314,18.101,19.729,21.337,23.031,24.939,27.301,30.813000000000002,33.924,34.867,36.781,37.659,40.289,45.961999999999996,48.268
23.0,10.196,11.293,11.689,13.091,14.847999999999999,17.187,19.021,20.69,22.337,24.069000000000003,26.018,28.429000000000002,32.007,35.172,36.131,38.076,38.968,41.638000000000005,47.391000000000005,49.728
24.0,10.856,11.992,12.401,13.847999999999999,15.659,18.062,19.942999999999998,21.651999999999997,23.337,25.105999999999998,27.096,29.553,33.196,36.415,37.389,39.364000000000004,40.27,42.98,48.812,51.178999999999995
25.0,11.524000000000001,12.697000000000001,13.12,14.610999999999999,16.473,18.94,20.866999999999997,22.616,24.337,26.143,28.171999999999997,30.675,34.382,37.652,38.641999999999996,40.646,41.566,44.31399999999999,50.223,52.62
26.0,12.198,13.409,13.844000000000001,15.379000000000001,17.292,19.82,21.791999999999998,23.579,25.336,27.179000000000002,29.246,31.795,35.563,38.885,39.889,41.923,42.856,45.641999999999996,51.626999999999995,54.052
